-50,-38,49
-50,-36,-6
-50,-32,23
-50,-30,31
-50,-29,16
-50,-28,-23
-50,-6,49
-50,1,11
-49,-36,-14
-49,-32,45
-49,-28,39
-49,-17,2
-49,-14,11
-49,-10,23
-49,7,44
-49,15,42
-49,16,30
-48,-38,-28
-48,-34,4
-48,-31,22
-48,-7,45
-48,-4,10
-48,-1,9
-48,3,27
-48,12,42
-47,-39,34
-47,-32,24
-47,-25,46
-47,-23,-6
-47,-8,11
-47,-8,18
-47,4,19
-47,7,36
-46,-43,13
-46,-19,4
-46,-11,-8
-46,4,23
-46,17,22
-46,24,50
-45,-40,7
-45,-37,32
-45,-30,-3
-45,-30,19
-45,-27,48
-45,-20,49
-45,-1,50
-45,13,32
-45,14,22
-44,-16,-5
-44,-15,28
-44,13,20
-44,20,21
-44,29,42
-43,-27,36
-43,-21,2
-43,-18,48
-43,-14,27
-43,-3,2
-43,-2,45
-43,5,8
-43,6,45
-43,27,31
-42,-36,11
-42,-19,-6
-42,-8,26
-42,30,50
-41,-31,16
-41,-26,16
-41,-25,-24
-41,-25,16
-41,-21,-8
-41,-7,45
-41,3,5
-41,12,33
-41,13,21
-40,-33,21
-40,13,29
-40,28,36
-39,-34,-10
-39,3,22
-39,5,29
-39,23,26
-39,27,45
-39,32,43
-38,-37,-14
-38,-34,-33
-38,-30,33
-38,-25,-7
-38,-4,13
-38,2,32
-38,3,12
-38,24,50
-38,33,34
-37,-24,-5
-37,-22,-5
-37,-17,23
-37,-12,-4
-37,-3,32
-37,-2,20
-36,-15,6
-35,-30,5
-35,-26,-8
-35,-22,-1
-35,-19,33
-35,11,28
-34,-5,39
-34,-1,41
-33,-23,13
-33,-19,23
-33,-17,12
-33,-10,21
-33,-3,6
-33,2,30
-33,17,27
-33,36,43
-32,-25,29
-32,-8,9
-32,7,41
-31,-23,-12
-31,-22,34
-31,18,38
-30,-29,9
-30,-19,13
-30,-10,43
-30,2,37
-30,6,25
-30,25,48
-29,11,36
-29,14,34
-29,18,35
-28,-13,6
-28,-10,27
-28,18,47
-27,-25,30
-27,-20,-18
-27,-13,16
-27,-11,-9
-27,-3,21
-27,19,25
-27,29,41
-26,-24,45
-26,-18,28
-26,-14,-6
-26,-14,-2
-26,-7,36
-26,6,28
-25,-22,1
-25,-14,42
-25,1,7
-25,3,45
-25,12,15
-25,15,29
-25,24,48
-25,28,42
-24,10,17
-23,-15,25
-23,-3,21
-23,3,22
-22,-15,27
-22,-13,19
-22,-8,23
-22,-2,28
-22,8,27
-22,13,30
-22,18,42
-22,33,39
-21,-20,16
-21,-10,-8
-21,9,27
-21,24,45
-20,-5,19
-20,2,12
-20,2,36
-20,6,47
-20,11,27
-19,-11,27
-18,-14,29
-18,-4,46
-18,11,32
-18,12,37
-18,28,40
-18,35,36
-17,10,39
-17,18,34
-16,9,12
-15,-8,41
-15,13,25
-14,-10,23
-14,2,19
-14,3,30
-14,13,36
-14,22,48
-13,-3,1
-13,3,33
-13,4,40
-11,10,21
-11,18,28
-11,33,47
-10,22,31
-9,24,28
-8,-7,26
-8,6,42
-7,-1,31
-7,-1,38
-7,26,50
-6,36,40
-5,4,9
-5,6,24
-5,14,38
-5,23,34
-5,38,44
-4,2,47
-4,17,44
-3,15,17
-2,7,45
-2,16,48
-1,27,34
-1,34,37
1,16,19
2,5,20
2,16,20
3,23,48
3,24,50
5,7,31
6,30,39
6,40,42
7,10,50
8,12,25
9,29,39
10,29,38
11,20,28
12,14,24
12,21,47
12,26,38
13,17,32
13,21,33
14,26,32
17,42,45
18,23,40
19,23,35
19,37,46
20,42,45
23,25,43
24,30,41
25,28,47
25,30,46
27,46,47
34,41,44
35,39,42
35,47,48
